vGen;Cuenta
0.0;1023.0
0.0;0.0
0.0;3.0
0.0;0.0
0.0;0.0
0.002442002442002442;0.0
0.002442002442002442;2.0
0.002442002442002442;0.0
0.002442002442002442;0.0
0.002442002442002442;0.0
0.004884004884004884;0.0
0.004884004884004884;0.0
0.004884004884004884;0.0
0.004884004884004884;0.0
0.004884004884004884;0.0
0.007326007326007326;0.0
0.007326007326007326;1.0
0.007326007326007326;0.0
0.007326007326007326;0.0
0.007326007326007326;0.0
0.009768009768009768;0.0
0.009768009768009768;0.0
0.009768009768009768;0.0
0.009768009768009768;0.0
0.009768009768009768;0.0
0.01221001221001221;0.0
0.01221001221001221;1.0
0.01221001221001221;0.0
0.01221001221001221;0.0
0.01221001221001221;0.0
0.014652014652014652;0.0
0.014652014652014652;0.0
0.014652014652014652;0.0
0.014652014652014652;0.0
0.014652014652014652;0.0
0.017094017094017096;0.0
0.017094017094017096;0.0
0.017094017094017096;0.0
0.017094017094017096;0.0
0.017094017094017096;0.0
0.019536019536019536;0.0
0.019536019536019536;0.0
0.019536019536019536;2.0
0.019536019536019536;0.0
0.019536019536019536;0.0
0.021978021978021976;0.0
0.021978021978021976;1.0
0.021978021978021976;0.0
0.021978021978021976;2.0
0.021978021978021976;0.0
0.02442002442002442;0.0
0.02442002442002442;0.0
0.02442002442002442;0.0
0.02442002442002442;0.0
0.02442002442002442;1.0
0.026862026862026864;0.0
0.026862026862026864;3.0
0.026862026862026864;0.0
0.026862026862026864;0.0
0.026862026862026864;1.0
0.029304029304029304;0.0
0.029304029304029304;0.0
0.029304029304029304;0.0
0.029304029304029304;0.0
0.029304029304029304;1.0
0.031746031746031744;5.0
0.031746031746031744;0.0
0.031746031746031744;0.0
0.031746031746031744;1.0
0.031746031746031744;0.0
0.03418803418803419;5.0
0.03418803418803419;2.0
0.03418803418803419;0.0
0.03418803418803419;2.0
0.03418803418803419;0.0
0.03663003663003663;0.0
0.03663003663003663;0.0
0.03663003663003663;3.0
0.03663003663003663;2.0
0.03663003663003663;1.0
0.03907203907203907;1.0
0.03907203907203907;0.0
0.03907203907203907;2.0
0.03907203907203907;3.0
0.03907203907203907;5.0
0.04151404151404151;1.0
0.04151404151404151;5.0
0.04151404151404151;0.0
0.04151404151404151;2.0
0.04151404151404151;3.0
0.04395604395604395;1.0
0.04395604395604395;3.0
0.04395604395604395;0.0
0.04395604395604395;3.0
0.04395604395604395;0.0
0.0463980463980464;0.0
0.0463980463980464;0.0
0.0463980463980464;0.0
0.0463980463980464;2.0
0.0463980463980464;0.0
0.04884004884004884;1.0
0.04884004884004884;2.0
0.04884004884004884;1.0
0.04884004884004884;5.0
0.04884004884004884;6.0
0.05128205128205128;6.0
0.05128205128205128;2.0
0.05128205128205128;3.0
0.05128205128205128;1.0
0.05128205128205128;3.0
0.05372405372405373;6.0
0.05372405372405373;3.0
0.05372405372405373;2.0
0.05372405372405373;3.0
0.05372405372405373;0.0
0.05616605616605617;0.0
0.05616605616605617;0.0
0.05616605616605617;5.0
0.05616605616605617;6.0
0.05616605616605617;4.0
0.05860805860805861;2.0
0.05860805860805861;1.0
0.05860805860805861;5.0
0.05860805860805861;2.0
0.05860805860805861;1.0
0.06105006105006105;0.0
0.06105006105006105;4.0
0.06105006105006105;8.0
0.06105006105006105;0.0
0.06105006105006105;2.0
0.06349206349206349;6.0
0.06349206349206349;3.0
0.06349206349206349;5.0
0.06349206349206349;4.0
0.06349206349206349;5.0
0.06593406593406594;4.0
0.06593406593406594;4.0
0.06593406593406594;4.0
0.06593406593406594;11.0
0.06593406593406594;8.0
0.06837606837606838;2.0
0.06837606837606838;6.0
0.06837606837606838;4.0
0.06837606837606838;6.0
0.06837606837606838;0.0
0.07081807081807082;4.0
0.07081807081807082;3.0
0.07081807081807082;6.0
0.07081807081807082;3.0
0.07081807081807082;4.0
0.07326007326007326;6.0
0.07326007326007326;3.0
0.07326007326007326;8.0
0.07326007326007326;3.0
0.07326007326007326;4.0
0.0757020757020757;10.0
0.0757020757020757;5.0
0.0757020757020757;4.0
0.0757020757020757;7.0
0.0757020757020757;5.0
0.07814407814407814;3.0
0.07814407814407814;1.0
0.07814407814407814;5.0
0.07814407814407814;7.0
0.07814407814407814;4.0
0.08058608058608059;4.0
0.08058608058608059;7.0
0.08058608058608059;7.0
0.08058608058608059;3.0
0.08058608058608059;6.0
0.08302808302808302;8.0
0.08302808302808302;3.0
0.08302808302808302;2.0
0.08302808302808302;0.0
0.08302808302808302;9.0
0.08547008547008547;7.0
0.08547008547008547;9.0
0.08547008547008547;5.0
0.08547008547008547;7.0
0.08547008547008547;9.0
0.0879120879120879;3.0
0.0879120879120879;4.0
0.0879120879120879;4.0
0.0879120879120879;10.0
0.0879120879120879;4.0
0.09035409035409035;7.0
0.09035409035409035;9.0
0.09035409035409035;6.0
0.09035409035409035;5.0
0.09035409035409035;3.0
0.0927960927960928;7.0
0.0927960927960928;10.0
0.0927960927960928;10.0
0.0927960927960928;2.0
0.0927960927960928;8.0
0.09523809523809523;3.0
0.09523809523809523;9.0
0.09523809523809523;8.0
0.09523809523809523;3.0
0.09523809523809523;3.0
0.09768009768009768;10.0
0.09768009768009768;9.0
0.09768009768009768;9.0
0.09768009768009768;4.0
0.09768009768009768;3.0
0.10012210012210013;8.0
0.10012210012210013;3.0
0.10012210012210013;4.0
0.10012210012210013;3.0
0.10012210012210013;11.0
0.10256410256410256;5.0
0.10256410256410256;7.0
0.10256410256410256;6.0
0.10256410256410256;5.0
0.10256410256410256;5.0
0.10500610500610501;6.0
0.10500610500610501;11.0
0.10500610500610501;6.0
0.10500610500610501;8.0
0.10500610500610501;5.0
0.10744810744810745;6.0
0.10744810744810745;8.0
0.10744810744810745;9.0
0.10744810744810745;6.0
0.10744810744810745;7.0
0.10989010989010989;11.0
0.10989010989010989;13.0
0.10989010989010989;6.0
0.10989010989010989;6.0
0.10989010989010989;10.0
0.11233211233211234;10.0
0.11233211233211234;11.0
0.11233211233211234;11.0
0.11233211233211234;15.0
0.11233211233211234;8.0
0.11477411477411477;11.0
0.11477411477411477;10.0
0.11477411477411477;10.0
0.11477411477411477;5.0
0.11477411477411477;8.0
0.11721611721611722;10.0
0.11721611721611722;6.0
0.11721611721611722;8.0
0.11721611721611722;11.0
0.11721611721611722;9.0
0.11965811965811966;8.0
0.11965811965811966;8.0
0.11965811965811966;8.0
0.11965811965811966;5.0
0.11965811965811966;7.0
0.1221001221001221;9.0
0.1221001221001221;7.0
0.1221001221001221;8.0
0.1221001221001221;9.0
0.1221001221001221;12.0
0.12454212454212454;11.0
0.12454212454212454;10.0
0.12454212454212454;8.0
0.12454212454212454;11.0
0.12454212454212454;9.0
0.12698412698412698;8.0
0.12698412698412698;6.0
0.12698412698412698;11.0
0.12698412698412698;4.0
0.12698412698412698;15.0
0.12942612942612944;9.0
0.12942612942612944;6.0
0.12942612942612944;9.0
0.12942612942612944;9.0
0.12942612942612944;13.0
0.13186813186813187;7.0
0.13186813186813187;7.0
0.13186813186813187;8.0
0.13186813186813187;8.0
0.13186813186813187;6.0
0.1343101343101343;12.0
0.1343101343101343;12.0
0.1343101343101343;13.0
0.1343101343101343;14.0
0.1343101343101343;13.0
0.13675213675213677;14.0
0.13675213675213677;7.0
0.13675213675213677;11.0
0.13675213675213677;13.0
0.13675213675213677;9.0
0.1391941391941392;8.0
0.1391941391941392;10.0
0.1391941391941392;10.0
0.1391941391941392;13.0
0.1391941391941392;13.0
0.14163614163614163;14.0
0.14163614163614163;14.0
0.14163614163614163;9.0
0.14163614163614163;16.0
0.14163614163614163;14.0
0.14407814407814407;14.0
0.14407814407814407;10.0
0.14407814407814407;10.0
0.14407814407814407;9.0
0.14407814407814407;11.0
0.14652014652014653;9.0
0.14652014652014653;15.0
0.14652014652014653;10.0
0.14652014652014653;8.0
0.14652014652014653;15.0
0.14896214896214896;9.0
0.14896214896214896;13.0
0.14896214896214896;11.0
0.14896214896214896;8.0
0.14896214896214896;12.0
0.1514041514041514;13.0
0.1514041514041514;10.0
0.1514041514041514;10.0
0.1514041514041514;18.0
0.1514041514041514;16.0
0.15384615384615385;17.0
0.15384615384615385;16.0
0.15384615384615385;9.0
0.15384615384615385;15.0
0.15384615384615385;10.0
0.1562881562881563;8.0
0.1562881562881563;17.0
0.1562881562881563;11.0
0.1562881562881563;11.0
0.1562881562881563;12.0
0.15873015873015872;11.0
0.15873015873015872;16.0
0.15873015873015872;11.0
0.15873015873015872;15.0
0.15873015873015872;14.0
0.16117216117216118;10.0
