vGen;Cuenta
0.0;245.0
0.0;0.0
0.0;0.0
0.0;0.0
0.0;2.0
0.004885197850512946;0.0
0.004885197850512946;0.0
0.004885197850512946;0.0
0.004885197850512946;3.0
0.004885197850512946;2.0
0.009770395701025891;0.0
0.009770395701025891;0.0
0.009770395701025891;2.0
0.009770395701025891;3.0
0.009770395701025891;1.0
0.014655593551538837;0.0
0.014655593551538837;0.0
0.014655593551538837;0.0
0.014655593551538837;0.0
0.014655593551538837;2.0
0.019540791402051783;2.0
0.019540791402051783;0.0
0.019540791402051783;0.0
0.019540791402051783;0.0
0.019540791402051783;0.0
0.024425989252564728;2.0
0.024425989252564728;0.0
0.024425989252564728;0.0
0.024425989252564728;0.0
0.024425989252564728;4.0
0.029311187103077674;2.0
0.029311187103077674;0.0
0.029311187103077674;2.0
0.029311187103077674;0.0
0.029311187103077674;0.0
0.03419638495359062;2.0
0.03419638495359062;1.0
0.03419638495359062;0.0
0.03419638495359062;0.0
0.03419638495359062;0.0
0.039081582804103565;0.0
0.039081582804103565;1.0
0.039081582804103565;0.0
0.039081582804103565;2.0
0.039081582804103565;2.0
0.04396678065461651;0.0
0.04396678065461651;0.0
0.04396678065461651;4.0
0.04396678065461651;0.0
0.04396678065461651;0.0
0.048851978505129456;3.0
0.048851978505129456;2.0
0.048851978505129456;0.0
0.048851978505129456;0.0
0.048851978505129456;2.0
0.0537371763556424;2.0
0.0537371763556424;1.0
0.0537371763556424;0.0
0.0537371763556424;4.0
0.0537371763556424;3.0
0.05862237420615535;1.0
0.05862237420615535;1.0
0.05862237420615535;3.0
0.05862237420615535;2.0
0.05862237420615535;2.0
0.0635075720566683;0.0
0.0635075720566683;0.0
0.0635075720566683;4.0
0.0635075720566683;2.0
0.0635075720566683;2.0
0.06839276990718124;3.0
0.06839276990718124;0.0
0.06839276990718124;4.0
0.06839276990718124;5.0
0.06839276990718124;4.0
0.07327796775769418;3.0
0.07327796775769418;1.0
0.07327796775769418;8.0
0.07327796775769418;5.0
0.07327796775769418;4.0
0.07816316560820713;5.0
0.07816316560820713;7.0
0.07816316560820713;6.0
0.07816316560820713;6.0
0.07816316560820713;9.0
0.08304836345872008;1.0
0.08304836345872008;6.0
0.08304836345872008;2.0
0.08304836345872008;4.0
0.08304836345872008;4.0
0.08793356130923302;4.0
0.08793356130923302;6.0
0.08793356130923302;7.0
0.08793356130923302;7.0
0.08793356130923302;6.0
0.09281875915974597;7.0
0.09281875915974597;4.0
0.09281875915974597;3.0
0.09281875915974597;6.0
0.09281875915974597;6.0
0.09770395701025891;5.0
